Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3,GII,GV
PF3D7_1463800,8917.577,7266.6673,12464.3655,605.6103,3711.1913,2126.0224,10353.0522,4430.6275,12821.6435,8221.4002,10293.2239,6926.9805,1191.0689,5705.7732,2544.3794,7453.7527,10089.0958,8124.0094,12207.3787,8646.7946,3719.3425,1539.816,2151.0074,1418.783,18210.2443,50124.4384
PF3D7_1463900,75542.9719,87589.9708,32648.0867,2663.0908,578.2573,960.9423,108260.4129,114248.8259,90556.5398,592.4052,14359.6639,40071.7594,8042.049,91472.7182,39778.4607,611.0135,549.0363,643.2759,152455.4779,40988.658,87368.2618,9924.1948,3299.2457,5172.9656,2603.7495,4123.4614
PF3D7_1464000,69312.4961,65861.5916,85064.5243,86311.8272,53520.3231,53086.7995,37512.4242,40394.1502,57307.8482,45603.8966,44568.5983,43870.2013,10803.1174,51922.8304,27461.7704,48174.1215,44105.2917,47270.0095,59890.4717,77079.3168,78699.4259,110043.8217,101078.8269,77575.2527,11411.4954,21398.3721
PF3D7_1464100,6097.2105,3508.6125,8934.6838,1633.6337,4896.8694,3328.6746,1827.2542,2936.0053,6438.8354,4301.937,6587.6633,6285.7178,549.2151,2160.705,1991.8443,4889.4213,7998.9965,9608.6722,3821.3831,4350.3445,3748.566,1661.4614,1365.2571,2904.7218,7779.5235,12040.0808
PF3D7_1464200,8229.2047,10842.7943,18452.3073,29299.4502,21474.6751,23915.6855,8328.1031,7610.4563,10928.0982,16133.3967,18930.3079,11849.3753,8657.6879,10055.118,6744.8902,17802.623,21229.516,17578.3047,3789.1398,15858.2063,6803.7348,49508.0628,27848.421,30554.9805,43186.8805,96290.2534
PF3D7_1464300,2135.2692,3280.3639,4367.513,1958.6756,1712.5585,2218.0709,1210.4904,1826.6158,3850.0369,4381.9094,5045.9799,2669.6353,1139.0844,3162.4308,2081.4015,2414.4688,2749.3059,3672.8238,2168.3985,5004.894,1766.9567,1981.3302,2178.1336,1060.8177,2933.6192,13926.2875
PF3D7_1464400,31573.1403,29089.0047,31756.3965,34714.8484,39259.5546,39537.3452,19675.5791,40203.9528,28725.5577,22512.0841,26163.7386,22232.0904,21715.8267,39100.0047,23929.8445,39867.7175,25085.7651,25772.6551,23057.1246,36836.4748,19679.2793,17742.9322,49473.5418,27582.2105,61436.3805,82760.0343
PF3D7_1464500,19543.6406,23869.441,19425.5753,5005.4503,13966.57,9743.709,12336.7225,20680.891,26518.0302,16422.6853,19413.296,26039.4103,3792.3134,17448.1478,9291.8787,8413.2784,12829.2933,16738.4085,22479.9559,13212.2772,28980.7845,3865.4421,4187.6396,6014.4166,4915.1079,11386.7791
PF3D7_1464600,69673.6126,84089.3503,83034.9178,124207.3977,237101.1037,215648.8831,320486.8374,229591.5467,121137.7117,95903.631,88534.2959,82889.6499,235762.6362,216597.4094,276899.3462,167181.7349,131471.2946,155239.3648,114501.4889,69100.6942,132069.2917,151024.4853,132416.6671,133368.0031,6013.5617,16025.9346
PF3D7_1464700,46055.3038,51778.0831,39269.432,60445.3448,64431.6194,62161.1547,118661.3758,81540.1473,65658.2885,39665.942,43617.6982,42228.9357,33353.9267,60901.527,53257.1034,45562.3533,38470.8348,41595.0647,90124.2538,42254.3185,38766.3031,40320.4334,42082.8297,54525.9213,16453.5453,40135.2631
PF3D7_1464800,0,0,0,99.7554,0,79.59,0,470.8438,177.4762,0,0,0,0,352.4432,95.2516,0,0,0,0,0,656.4063,0,104.2093,0,16762.3061,19519.3011
PF3D7_1464900,64913.9905,58266.1494,78497.199,98693.9201,105996.4143,110198.4077,57560.2484,78051.8864,82937.132,65456.6807,65065.0001,61345.3887,11185.0592,63865.1815,37394.4653,85246.3712,82398.2793,88262.5192,72841.4626,56112.7762,57774.3194,87027.3433,88128.8661,102344.7591,7776.6218,11984.1449
PF3D7_1465000,134481.8015,95439.0608,121636.3308,2105.4321,2872.9435,5216.2882,83885.3665,93361.1449,135193.8582,64015.3515,93149.5791,107025.7135,9504.4815,67600.31,39572.6561,10448.9176,36990.1544,42303.3041,136907.8772,55971.5094,63619.3526,9485.5681,2662.4732,9475.5244,194777.3271,137075.1717
PF3D7_1465100,16512.9337,16512.358,15760.3832,1370.8815,603.1335,1553.1384,7380.8499,7829.3476,21316.4477,15050.0366,15271.4013,22420.2955,1108.4159,5747.5291,4607.6397,2285.9632,5931.0741,9715.946,16889.5207,8177.8432,14763.737,2788.4667,601.4769,2569.2871,7638.0776,13627.9532
PF3D7_1465200,35466.0814,33396.2145,63322.5797,65742.5042,67810.228,64629.8915,12711.3753,12989.6856,45880.2138,64715.6517,62507.76,47880.7648,6565.0238,18645.8888,20017.4364,71522.424,76935.3315,83346.9024,17947.6135,58072.7401,24482.0231,63561.6329,87599.6263,63600.1297,11636.1545,15881.0402
PF3D7_1465300,12387.6809,9557.5651,16685.0844,38192.3336,32355.2881,27999.722,6447.6817,5230.2851,13627.9751,19176.9482,22096.7734,16952.1764,6441.6856,9173.1329,6862.1508,21570.4529,23781.2021,26314.2558,7122.6894,12856.658,8282.6606,39481.1745,44662.75,36260.2476,5708.7721,15437.5004
PF3D7_1465400,7809.1232,14988.8099,4857.2569,131147.1408,46757.025,58504.337,35365.6681,27508.9551,16672.6372,12350.6626,11777.0371,9511.3813,63680.2737,27273.8065,24564.7082,29714.3709,16023.8127,15039.5609,21192.0385,3113.4269,6419.8916,131823.1037,107338.3161,125110.5737,43142.4848,37072.4618
PF3D7_1465500,74.7118,71.4174,643.4388,226.9692,129.685,98.7751,486.532,633.0353,770.8982,60.8932,126.7581,35.2249,2141.751,1142.098,1517.0536,20.4802,0,46.1318,143.4186,40.3565,158.4007,2640.6176,301.7672,1611.2975,5930.6353,13782.8538
PF3D7_1465600,1853.9039,1476.7973,5170.0506,5961.1733,3103.083,2596.905,1293.5182,1898.7908,4001.4994,1834.796,3145.3829,2341.2691,1158.8128,1981.2225,3212.6833,1016.3943,2591.6312,3025.3233,2033.5989,3361.871,2125.7144,4029.4133,6532.9601,6882.7607,6953.8644,20563.2905
PF3D7_1465700,1439.0557,471.6347,2514.1192,170.3279,802.902,353.3304,803.254,602.9584,1969.7115,2161.4687,2057.8697,1395.7349,297.7672,1845.461,1008.3549,202.8743,1651.713,2208.7151,1006.3195,1399.1817,1382.3003,346.4586,177.9326,665.0545,30277.8787,445526.916
PF3D7_1465800,1847.7795,1196.039,4051.1447,603.6253,305.8467,300.1295,545.7804,640.0152,2626.4285,1581.3176,2431.8581,1329.1813,344.1058,824.2132,914.6783,264.8367,995.1616,1202.8718,923.4976,757.1303,2811.0647,396.6673,612.298,901.7657,1972.8865,5607.5303
PF3D7_1465900,245695.826,177513.6344,225465.4364,1010780.0711,1075349.3487,1081750.9273,93591.572,91914.897,134776.7365,586520.8619,379145.6767,378884.9674,114441.4525,153880.2995,126365.6416,1129253.5594,761952.3964,638514.9394,122891.6711,253466.7125,98076.6908,587084.073,829933.7444,828243.6948,156548.806,107926.5209
