Gene,D4F1,D4F2,D4M1,D4M2,D4M3,D6F1,D6F2,D6F3,D6F4,D6M1,D6M2,D10F1,D10F2,D10F3,D10M1,D11F1
PF3D7_1023500,1660393.9292,3634791.7895,1928428.9551,2128555.826,1127925.6241,1792291.7958,1321536.5705,1589440.5077,4781140.545,1725341.7548,2684326.5759,2058452.6372,843535.5093,971283.5676,1078326.3696,4052787.6753
PF3D7_1023600,19423.1007,12537.0539,19406.0848,5781.9895,223.2665,7985.895,24595.7489,32741.9548,31206.388,28597.3079,0,7212.206,15512.0915,12008.8628,39466.4647,0
PF3D7_1023700,2832.5866,16293.8548,107467.208,22759.7255,10413.8662,17970.8988,3895.4992,4605.0126,3346.9834,218113.7414,0,10117.3048,2266.7094,6607.7257,241949.9226,0
PF3D7_1023800,12486.5889,19153.7223,23893.4359,17526.5018,1115.1336,22602.3988,10897.6868,6302.8703,13619.2145,38815.6734,33200.7581,10292.0846,4980.6738,3722.8854,29026.5154,0
PF3D7_1023900,60337.7956,40979.6379,172350.9066,185941.9707,4811.6009,75084.3463,104143.1132,107118.4014,9409.9954,153405.8416,39035.83,54639.8627,51736.8987,74018.4604,280855.6138,0
PF3D7_1024000,22329.2142,6116.3846,30692.4486,5511.9626,2468.9403,14718.3558,8773.7511,10371.7734,1675.1868,17139.5398,0,9114.7974,9802.103,9387.3865,15107.2125,0
PF3D7_1024100,9024.1553,3816.8781,5761.5808,6466.6242,8165.823,4592.4328,11771.6483,8002.2617,12753.7111,3314.1869,3372.9219,4266.0093,6754.0987,10573.1909,2095.0063,63553.4847
PF3D7_1024200,11974.2636,15895.2498,1080.806,19099.3054,10693.7962,57375.0567,13775.7306,19603.0159,83441.5567,19343.4465,0,14804.6999,14152.0491,6941.9296,2596.6004,31507.8772
PF3D7_1024300,112500.1378,66372.6381,148930.418,70580.1481,26791.984,63887.1599,111275.9284,61391.1652,40901.5765,20956.8058,372443.8366,120546.8711,126866.7479,122987.3195,1951.6384,0
PF3D7_1024400,4887.5021,24990.5075,25170.0354,20831.8714,630.4794,5637.8155,9522.1396,9149.6448,5133.3962,32055.6404,2760.4703,26185.4384,7039.9909,10816.6525,34291.9453,139321.9014
PF3D7_1024500,24404.4549,70190.7296,52218.4731,32371.4063,64583.0184,32290.7928,12585.7845,29278.8634,75765.9527,78627.447,153242.1063,73066.228,15853.0165,28207.186,33993.7545,0
PF3D7_1024600,16981.6451,48066.3943,13046.8433,12366.1525,53278.596,25185.3584,18766.5379,11831.7939,45864.0135,38094.7588,101735.915,33576.4718,18830.6837,16759.7641,63373.095,148680.0215
PF3D7_1024700,70272.8166,17965.7554,30089.7185,43202.7428,32061.7309,59729.063,45014.9678,45479.1169,29911.7841,18193.3437,160432.0371,43594.2623,45934.4068,49377.8468,72567.5827,0
PF3D7_1024800,797897.9154,188575.6195,1105434.3842,1340226.0717,3709.2591,853730.9412,724404.503,1525826.7495,70797.2316,917961.5015,24713.8025,217314.4689,322139.4526,500570.5721,652077.1148,15442.9385
PF3D7_1024900,1922.7166,1358.2481,10568.0281,1049.165,704.9192,5603.0799,1670.0244,3051.0321,159.4303,9649.3403,0,3795.1819,2429.3806,108.9528,798.7656,8653.9695
PF3D7_1025000,95347.2134,321343.3802,47337.6201,57395.5794,7840.5823,100246.9213,68923.4964,120481.9411,482988.143,46703.125,116537.7467,45703.8103,44627.6331,42861.0691,15931.8077,69911.6901
PF3D7_1025100,60028.7611,17953.7748,49817.7152,46278.0324,20550.342,22193.6479,46965.9441,37534.761,13337.258,54746.7117,0,52227.5931,55919.4977,57449.1438,20827.4292,2193.8009
PF3D7_1025200,17207.7973,48832.2103,807.6581,9277.068,27170.0621,14291.6273,12779.0613,12817.7192,8675.297,0,0,99568.4917,20159.4646,14450.9563,776.1487,0
PF3D7_1025300,7321.1966,60496.568,6545.2319,5783.1555,17809.0966,9651.569,8450.2938,15148.3398,96119.1478,12663.9567,0,14942.5821,17408.4457,13888.0477,393.1175,0
PF3D7_1025400,36502.0498,35388.2549,43986.1273,24917.644,9999.3779,63016.6595,38580.0923,43133.84,59833.9019,21509.2808,2501.7685,68996.9331,27568.8829,40359.9059,43195.0292,15432.4051
PF3D7_1025500,1914.2295,6862.0522,15788.0664,12540.4617,7440.1783,5952.2583,4978.9223,5855.0157,3059.5112,19021.2269,846.1255,5350.8197,1891.46,4331.0144,68790.7112,0
PF3D7_1025600,37259.661,80968.4729,39348.0934,59232.1629,1441.9297,94555.215,38430.8576,30837.6918,23480.5347,40885.7821,0,79849.4232,27430.8562,30755.4569,4201.4437,0
PF3D7_1025700,146478.4711,624839.3445,85616.3013,141626.3291,413364.9744,269585.1975,165229.1106,97783.3207,534146.151,191186.6568,421093.087,473218.0538,217046.9238,197281.2025,49489.3981,0
PF3D7_1025800,40552.3753,95700.0828,12353.4712,36383.7603,38932.1018,32384.6614,26544.104,18671.6589,78632.4882,12836.2339,17838.7367,94008.7685,44183.3709,30646.6156,2638.1158,6669.091
PF3D7_1025900,72388.3919,21241.8724,43182.1814,56956.23,20878.31,54091.9871,67228.7281,70785.203,9922.1945,43928.6035,13885.5051,41466.1408,84741.1105,83247.5462,91722.3109,2595.5789
PF3D7_1026000,2475.9535,9494.9321,13364.1886,2310.2932,3736.9069,17136.3229,1532.2686,1976.0193,4290.8591,0,1258.5808,19897.8719,2853.104,2932.3234,558.3829,0
PF3D7_1026100,64304.3139,32965.3531,63664.3309,28704.5948,6999.0295,12362.6839,43526.1848,45340.8117,26382.6232,55760.5397,66963.5178,32298.6431,71183.5408,45674.9336,27946.6817,7637.6773
PF3D7_1026200,58342.6351,25540.613,35636.0091,19610.2165,38661.4715,36876.2778,19509.2894,28820.9269,80164.9238,55643.7531,262713.4351,52810.0455,56024.7494,49907.7369,51368.5946,0
PF3D7_1026300,44163.2435,42218.6332,78547.7034,67040.7015,0,58679.377,33021.5331,35010.339,14752.8642,62773.109,1286.4833,29152.5724,23452.3694,27793.4466,52938.1906,0
PF3D7_1026400,18196.1021,16501.9048,59436.9,38750.0572,1141.9132,61266.6738,30181.0805,25075.5619,10072.31,54429.9485,0,26348.114,21015.0551,19590.9307,181336.0044,0
PF3D7_1026500,105145.9445,235525.6159,234070.7093,78957.3504,18253.8792,95216.4403,51184.8346,64483.2111,247706.7395,401018.4096,184820.0573,113193.1383,142016.6065,179330.9108,881472.1215,470598.4224
PF3D7_1026600,52561.4924,12705.1762,14604.4993,10954.529,31083.3069,34705.0577,36204.0229,28505.6024,11567.8469,7216.7989,21392.7232,37899.1588,34909.9722,40105.1016,706.7849,0
PF3D7_1026800,299533.724,86948.375,445001.0851,389515.6411,17891.5436,138533.7908,286476.7318,238911.7557,34604.5252,301210.8408,44120.1343,141403.8646,331858.7475,282063.5679,133625.0512,6059.2072
PF3D7_1026900,35202.7929,6982.6418,1424.3654,37755.697,0,0,17528.6446,36598.5793,0,67519.9122,0,97553.5939,30307.2375,13069.4053,684.3981,0
PF3D7_1027000,8491.4822,13596.1571,16640.6034,9075.9874,0,15147.0108,14085.6712,10945.5369,17377.6644,17887.1415,35599.212,22043.5999,8658.5043,8011.3812,592.274,43420.3635
PF3D7_1027100,12002.3866,11195.8682,9706.1802,13620.8128,0,10103.0745,1505.6346,8917.308,1277.6591,9574.0546,0,13903.648,9656.5382,4191.0596,7498.5863,0
PF3D7_1027200,19351.7141,37433.9137,26525.1111,51667.3397,96429.3361,40299.0743,23139.4733,28398.0677,56659.0623,26049.6841,215018.8712,65143.6724,18747.3432,19175.6917,772.4327,202103.4718
PF3D7_1027300,54469.0956,78626.5183,22608.8492,24970.5611,24807.5639,75226.2484,47390.9802,35267.4155,47285.3861,12057.7616,38298.3477,58232.7285,68435.4725,57979.5402,53899.1838,111962.1247
PF3D7_1027400,62046.9902,79972.0222,20844.6713,11744.6064,303087.5333,12473.1709,43284.5053,29450.9681,75444.1748,15197.2038,107313.9442,115865.9576,69471.0526,62368.1552,12193.0573,211362.8231
PF3D7_1027500,129882.6685,533658.9633,76201.495,65726.1038,71805.6056,74910.917,154698.0459,179617.8113,285014.4441,121109.3503,172915.2215,107693.1701,126207.3723,161480.5998,43588.4649,52891.4653
PF3D7_1027600,177639.5823,221212.2697,97140.0524,132873.5581,142628.4467,25056.958,157831.0202,175287.9323,139172.076,95344.9817,246602.0111,36207.0259,164556.1658,175405.176,53887.3426,495366.7604
PF3D7_1027700,42291.907,50833.6322,47402.8796,50718.4863,22351.6067,61162.5605,68687.2458,56254.1692,21381.0986,42992.2706,0,25363.9344,56068.3894,63203.6439,45909.4224,0
PF3D7_1027800,175428.4531,131642.2826,355718.5343,397961.0455,98341.1628,131135.2304,193358.1463,223757.6621,41088.4969,311993.1397,0,150476.5199,120511.2464,164636.4981,142768.7922,709123.5887
PF3D7_1027900,587156.0168,37498.2636,16738.1255,35780.4847,26711.5621,165608.0111,408883.2311,394580.3946,42047.4755,33169.0653,1169.5303,66564.0131,600283.4446,536051.857,236087.9854,0
PF3D7_1028000,8520.5924,10891.7563,14088.0565,8566.1947,1798.5957,15189.7257,11185.266,7326.7608,11796.7653,6448.151,1968.7281,24900.1089,5454.7194,8061.7727,4076.0878,0
PF3D7_1028100,9973.9366,127682.9563,23406.6296,16119.2812,246917.6494,14212.186,4236.0092,13786.999,45754.306,35298.0097,71576.0209,18860.0059,6760.7178,10106.8162,21831.8868,0
PF3D7_1028200,274045.0074,225356.1827,50487.5429,49100.0173,683260.4818,129910.4823,257937.6572,184115.6731,349402.4881,41630.9259,300918.0028,430103.8896,420663.804,400139.0454,162485.9732,9878.0078
PF3D7_1028300,1348.0882,18740.2643,1581.8329,5590.6258,1565.1096,0,3823.7738,10161.1633,1061.9337,6121.1776,1713.1562,0,7119.9163,2539.9962,1140.0902,0
