Gene,LD4,LD5,LD6,M,YR,ET,MT,LT,ES,S,LS,GD4,GD6,GD10F,GD10M
PF3D7_1448700,1927.297,7125.793,8152.065,8179.62745,20214.239,23082.813,19604.868,11665.819,11535.364,7991.908,10293.029,16167.493,17178.638,30123.694,63668.3698
PF3D7_1448800,2698.78,18584.659,34849.436,13693.971300000001,21853.114,20771.118,44778.538,45063.726,54999.172,23589.064,27250.253,76950.372,59431.559,77805.982,1774.2167
PF3D7_1448900,3884.876,7823.939,13598.671,6139.2355,314.965,2171.446,17024.749,27164.376,18327.649,10701.704,11874.938,33471.166,14374.684,51995.41,43133.7709
PF3D7_1449000,8665.256,138.804,627.556,39755.4567,2768.034,777.378,927.572,5286.68,21496.324,24604.459,36019.835,83477.128,114288.874,48024.234,1728.594
PF3D7_1449100,2159.446,4655.674,12289.136,25628.87385,2541.957,394.703,3390.883,21953.62,37805.023,43233.396,41629.31,65632.484,44187.423,17058.633,77252.6699
PF3D7_1449200,284.741,649.861,2511.352,130703.62114999999,16732.815,3176.89,799.823,93910.593,303302.715,364635.596,335758.43,1106.723,2080.252,3698.592,0.0
PF3D7_1449300,9386.545,12611.111,13505.823,40697.936349999996,99915.073,58700.793,29349.201,39001.156,50863.753,50764.76,42314.925,33825.968,33657.146,32849.899,2977.7459
PF3D7_1449400,70198.332,90473.596,78960.303,17111.82075,1853.082,2293.502,25575.083,40610.111,36318.661,38694.194,24316.413,1606.117,874.9,1923.864,14430.8813
PF3D7_1449500,1143.413,4276.867,10592.79,15753.71795,8934.635,20216.131,26332.098,35233.487,31426.593,39978.007,21156.135,10257.771,17269.544,24269.792,6872.6491
PF3D7_1449600,0.0,1998.75,1966.967,15557.705249999999,4176.5,2313.762,1790.375,7407.678,22804.169,25221.184,26889.118,27131.526,29112.765,17207.103,0.0
PF3D7_1449700,6399.272,12457.3,15464.931,5395.8776,12177.381,11991.886,9981.512,9296.531,9124.19,6976.137,5777.368,7118.053,5980.795,5505.316,19878.6703
PF3D7_1449800,44797.482,65438.08,106014.399,12836.34405,24146.058,34741.887,26940.89,35928.608,29328.393,14976.066,14690.502,4512.25,6468.311,16651.449,4726.6242
PF3D7_1449900,16985.434,11784.391,18502.738,12293.959350000001,11412.41,17851.644,21195.139,20428.612,14937.544,13266.123,18236.759,32667.867,24963.239,57778.333,36819.2908
PF3D7_1450000,0.0,2223.6,3486.385,33066.1436,17758.815,16881.291,16533.905,13115.048,13665.112,13599.923,31934.817,18629.075,24299.139,19042.911,8682.556
PF3D7_1450100,51039.508,39713.526,39265.594,62212.3342,167743.788,113040.47,74501.159,76534.986,64830.736,57588.904,64016.628,146167.862,100554.994,48931.019,132337.4618
PF3D7_1450200,3453.944,4865.338,7799.734,4245.289650000001,17615.129,14481.451,8261.524,8599.496,4152.093,4071.309,5842.52,1412.207,2361.888,4460.232,504.5937
PF3D7_1450300,10683.671,9363.477,9809.32,13017.82605,50356.858,38082.297,26272.761,21203.195,19975.558,15621.841,16929.452,16259.743,20887.31,21930.714,746.0023
PF3D7_1450400,16126.524,21792.264,23292.006,17251.60215,30735.969,28978.089,22362.963,26115.499,26427.464,27299.871,24102.197,12362.439,8967.559,10878.04,5401.8562
PF3D7_1450500,7183.789,16843.715,24180.617,6833.832399999999,646.61,286.805,521.763,5340.378,11903.68,12837.806,11559.209,6429.468,11075.313,15819.261,20449.8189
PF3D7_1450600,2870.994,15418.192,20592.166,7572.001550000001,16488.492,23078.141,22067.776,16706.09,15179.742,8648.466,8200.046,24692.281,26401.717,18428.343,3088.5258
PF3D7_1450700,14642.505,21748.492,24561.524,90915.57115,154923.332,125845.454,122726.791,129053.031,151706.297,186680.328,71318.257,17871.362,20784.035,29278.439,1473.8317
PF3D7_1450800,97469.586,134995.067,124790.787,7592.278,1634.911,2750.951,18493.081,20198.009,17937.598,9650.271,10590.159,31541.044,18046.302,12891.349,1349.7109
PF3D7_1450900,140758.039,271554.468,207194.79,6400.58595,6596.655,5080.612,27388.345,29378.654,21047.003,10220.124,9636.931,32197.817,34348.68,32246.504,51905.6587
PF3D7_1451000,89476.659,100984.797,125673.074,8753.457,37228.59,21242.605,22806.165,24404.549,23725.546,15503.702,11055.436,9997.362,6727.452,11573.329,13152.3455
PF3D7_1451100,573308.462,950721.62,386252.315,212574.04005,1268456.253,1520010.495,1220499.397,805156.482,344237.796,251449.515,186434.836,410298.64,344304.362,200927.581,195607.0941
PF3D7_1451200,38118.31,79767.75,77110.924,315050.86035,266777.779,184629.677,119426.951,152073.19,110910.478,102567.99,135160.654,53287.541,53680.351,47057.541,18211.8663
PF3D7_1451300,44034.889,43894.599,45099.193,27957.47615,4324.91,9095.415,37214.956,69922.805,80454.825,59218.471,43313.079,35531.346,21419.481,27240.563,1114.6055
PF3D7_1451400,99553.621,109403.031,70268.36,2656.28165,9706.193,15184.959,14215.906,11600.012,6189.818,5377.617,3752.538,24115.251,11800.136,3208.779,8972.3341
PF3D7_1451500,19899.598,34204.636,49498.719,10566.04495,19798.273,22397.737,27804.871,38742.342,42970.352,26347.306,21165.017,11157.06,4497.887,6846.421,0.0
PF3D7_1451600,0.0,1560.424,2446.562,5296.43045,1480.845,230.781,206.743,1143.135,6894.851,4414.198,4334.23,93746.331,177357.06,102809.418,15377.8331
PF3D7_1451700,4005.985,47480.027,43656.343,45843.8481,3942.255,1251.499,10381.611,57433.417,84912.248,74492.876,79106.303,8643.132,18815.772,7660.568,5985.4362
PF3D7_1451800,320093.331,398843.464,308278.144,49665.54675,18293.618,76149.97,116281.947,196686.064,174671.411,121502.443,82732.057,352017.413,409829.542,436101.757,104058.1606
PF3D7_1451900,10624.539,17906.164,22314.264,24195.7307,71924.086,69919.698,52618.945,31574.118,25810.266,26269.751,26794.191,14393.547,13750.053,14756.692,9594.5973
PF3D7_1452000,10449.43,5825.081,3022.616,37091.6706,5890.582,979.432,285.431,22462.423,59163.255,93658.609,93839.29,20536.244,15019.024,28723.154,7109.6454
PF3D7_1452100,36194.712,86319.725,94688.996,1668.5248499999998,11159.854,12101.97,6834.089,2353.372,2335.425,1664.207,1640.85,3190.559,3141.479,4620.52,0.0
PF3D7_1452200,2265.47,10534.909,11245.896,2654.5369,1288.004,3141.759,8516.002,6004.436,6175.937,2714.909,3535.148,8469.85,13208.195,7188.078,7281.2766
PF3D7_1452300,84119.17,37633.707,53107.527,4798.78645,1066.307,1684.404,10731.567,19217.602,20957.354,10506.453,12520.333,7788.35,11218.968,14768.721,0.0
PF3D7_1452400,35133.201,32774.139,37020.4,20348.62225,46861.046,56326.081,42782.241,52950.926,47221.301,37773.78,26134.598,58427.693,59284.478,72836.16,72854.3535
PF3D7_1452500,9774.586,15860.603,16878.259,16250.74235,2261.821,1693.744,8724.16,22137.611,26591.004,22004.379,22039.229,15495.487,22414.333,30495.884,55325.7606
PF3D7_1452600,20092.539,17245.608,20910.838,5111.7385,4435.999,3926.287,3866.762,6681.834,9710.681,9181.445,9518.22,13876.934,12944.248,8792.818,8735.0744
PF3D7_1452700,508633.11,267829.425,309686.768,26858.275350000004,7371.266,37951.846,94668.18,86537.529,66913.2,48074.589,35630.822,26407.294,44730.847,19926.786,41379.2295
PF3D7_1452800,7032.739,6600.235,14978.71,9034.878700000001,1259.051,4607.549,10618.836,10813.631,18058.492,13296.755,11265.803,163304.722,148204.009,178844.489,56471.8065
PF3D7_1452900,47579.548,41117.109,41224.816,15425.6641,2946.278,5656.963,23880.28,36766.444,48317.968,30881.412,25113.784,117135.983,195045.404,109725.031,636792.7273
PF3D7_1453000,15444.483,11678.106,16088.971,5782.0081,20798.711,23244.542,15543.26,16234.037,13135.403,13299.833,8270.797,8053.868,10603.724,5906.983,354.4276
PF3D7_1453100,3161.652,3145.792,7214.377,3306.0265,295.13,114.634,825.863,5740.769,9155.963,10638.526,8030.61,24152.864,31576.125,46656.529,15988.5807
PF3D7_1453200,446.121,1610.89,4372.579,4230.0246,394.93,139.251,1183.77,7621.137,13760.163,12136.864,8014.122,11671.828,14956.25,8214.854,14748.1148
PF3D7_1453300,0.0,31274.852,51844.602,0.0,273.965,206.039,276.739,581.973,136.303,0.0,116.646,0.0,2237.361,0.0,0.0
PF3D7_1453400,29092.95,42206.055,67816.905,3649.6485,8834.661,7719.837,6114.351,7900.057,7779.275,7674.82,6326.982,7841.069,9232.178,7803.693,2944.7707
PF3D7_1453500,2430.756,941.879,2199.469,4090.7960000000003,765.89,799.325,1451.148,1492.78,8924.479,4988.807,5680.515,469631.056,771666.497,1301543.263,321200.7035
