Gene,Day2_R1,Day2_R2,Day2_R3,Day4_R1,Day4_R2,Day4_R3,Day5_R1,Day5_R2,Day5_R3,Day6_R1,Day6_R2,Day6_R3,S1,S2,S3,S4,S5
PF3D7_0109600,0,0,0,0,92715.1865,0,250818.7205,98431.4232,76490.9579,101616.2994,108364.551,85776.0446,0,647.0165,134.7421,431.1524,681.1801
PF3D7_0109700,221690.2936,244062.8508,0,255133.8744,20229.5522,0,33248.1032,73227.8511,44056.6978,53933.1643,45565.7393,39618.5237,1199.2238,1452.0621,226.7954,5563.7614,382.1834
PF3D7_0109800,0,0,0,0,96641.7588,94366.6596,61769.0561,51205.5664,52358.9576,66194.0865,101098.2558,60508.9439,1113.9721,2922.4788,374.5293,1348.2363,710.0287
PF3D7_0109850,0,24699.2984,0,40573.8021,38995.0879,0,233496.3921,49281.1543,88420.9459,244807.2145,186149.4875,98095.4289,0,146.9495,30.6024,97.9227,154.7087
PF3D7_0109950,0,0,0,79510.477,21481.5971,55403.7002,25488.7825,9762.2684,16035.5259,28403.2359,21687.0308,12097.1177,290.6779,1407.8518,146.5935,938.1503,741.0945
PF3D7_0110000,0,0,0,162381.5528,18176.7886,159739.9051,56738.0145,105549.6174,60681.6208,98428.1101,122855.6524,84506.5138,942.8425,2663.7956,713.2359,1521.4917,400.6356
PF3D7_0110100,0,0,0,0,7952.7277,24829.1901,32924.5641,10075.6757,12452.1705,9791.478,27114.4712,25786.5117,14199.1476,33596.987,14190.3235,21021.6206,15941.8456
PF3D7_0110200,0,0,0,181212.7756,19157.8026,0,39297.2776,24271.8991,25204.5913,43653.9368,34900.9681,29718.9682,11262.2553,28476.706,6180.889,16036.0767,9711.9374
PF3D7_0110400,20804.3347,0,0,68408.0535,84977.1148,71501.1298,89250.5052,81032.3878,28901.0996,90018.0307,29614.4508,143700.5355,5908.3564,10220.0635,6881.6392,10896.5509,10042.3883
PF3D7_0110500,0,0,0,1799.0338,33283.9032,60172.0723,34806.6713,30903.7826,28713.2836,44936.921,32848.398,51483.9867,2367.7152,2150.1842,1179.1507,5826.7947,3018.2905
PF3D7_0110600,25598.8872,11742.6157,0,64883.6056,20393.0798,0,42261.0144,15443.4368,13911.8402,25934.4507,28660.0472,29399.4445,33984.3283,71260.4431,32924.6163,66619.8195,37438.0109
PF3D7_0110700,0,0,0,23287.06,72802.0904,6954.2819,44038.1986,122201.9693,91251.8984,29289.3167,72964.6517,111693.5113,2079.6984,4506.2018,1766.4425,4327.5617,3069.7361
PF3D7_0110800,0,0,0,4405.3263,11643.2702,0,32148.807,14456.3653,6617.4808,25857.0778,13579.8842,14355.9322,50296.4928,97757.1146,60708.6581,57774.4207,87397.892
PF3D7_0110900,0,0,0,483606.934,68169.1906,0,50156.9386,65494.7288,42040.0655,88327.6199,95647.8089,72479.4563,0,428.1492,89.1626,285.3058,450.7562
PF3D7_0111000,0,0,0,0,5273.4984,0,5361.5777,14420.3368,11161.4688,26152.9342,7439.5859,10637.2856,437.664,728.6659,358.6716,1412.5415,418.4405
PF3D7_0111200,0,0,0,25354.1499,18763.0733,0,19363.323,19102.3381,29357.843,12436.191,58403.2818,22487.5061,30866.0405,76767.5608,27871.9818,31299.1522,57425.4685
PF3D7_0111300,48042.6753,0,0,76517.7701,14874.1566,92877.1291,68491.5019,40086.423,74619.2884,101068.5734,55031.9431,50895.6536,1786.7074,3540.1218,716.7564,5242.2915,1242.3489
PF3D7_0111400,0,0,0,131024.2681,22509.3,34237.1355,47252.9578,33590.99,31713.9497,56436.4128,54300.1747,45854.216,2020.7992,4730.5851,747.3557,3804.5244,1889.1054
PF3D7_0111500,0,0,0,13990.0577,15283.2891,0,28887.4654,8432.3178,9996.8273,21951.0715,29514.8101,10552.7433,460.3092,1300.5031,116.0707,990.4186,195.596
PF3D7_0111600,0,0,0,83624.6208,11366.7292,0,12164.8202,16801.2025,8972.65,7090.7142,26705.2969,20660.2258,786.1334,2855.6335,396.4597,2537.2115,501.0694
PF3D7_0111700,52683.6137,0,0,64962.1255,10301.6874,22633.1312,45018.7447,19940.0673,17449.7645,22759.909,49936.413,28784.5537,1424.9483,431.3443,808.4523,4311.5239,0
PF3D7_0111800,36348.0767,0,0,47309.374,14214.9142,0,34229.2151,19677.0758,44766.8976,50474.6706,32179.1686,33264.9915,4342.0979,9225.5368,2375.7151,11369.7945,4595.238
PF3D7_0111900,0,0,0,0,2030.0384,0,1629.43,9644.808,20431.4718,31975.7032,46837.6913,25354.3897,0,765.0018,159.3127,509.7743,0
PF3D7_0112000,0,0,0,154656.0246,25693.2102,0,98896.1971,81934.6291,56782.8976,86877.7462,82163.3069,61316.4064,0,220.0513,45.826,146.6356,0
PF3D7_0112200,0,0,0,0,2547.8518,0,681.686,2205.7934,2036.3593,1059.5888,2234.6462,642.8622,6026.4425,17602.4781,2212.7738,8829.3135,5930.2149
PF3D7_0112300,0,0,0,0,25063.6026,0,6705.8477,3053.2912,2282.846,4259.536,6167.1746,7810.3265,208610.6415,148455.9389,281927.0396,37601.7878,513503.2607
PF3D7_0112500,1126532.5913,2480440.1789,0,0,411190.7561,0,141448.3876,49614.8986,14490.4055,25955.9813,156665.3008,42405.6511,15234.8197,14757.4818,22281.1748,9833.9439,23305.0562
PF3D7_0112700,1068489.942,958956.4304,22260515.3823,114566.4001,420217.4534,625342.9907,57520.5057,32928.2159,14988.7229,21302.5778,167166.0476,58220.234,28929690.6054,27847058.0006,6691591.4233,77519557.6653,14739939.6749
PF3D7_0112800,0,0,0,157713.7862,18757.6774,0,40149.4165,43129.0054,45140.4939,58668.9394,39100.9678,41982.1354,8432.4382,7854.07,2180.8275,16050.0655,5788.1456
PF3D7_0112900,0,0,0,15405.1289,2280.0809,0,3921.7049,4539.4471,5447.7497,6654.5392,4314.6566,4177.7698,6487.9194,4909.8748,1584.8565,9406.4064,13310.4975
PF3D7_0113000,0,0,0,0,146260.3306,290695.4383,122843.5342,157245.662,84470.913,74308.1377,149276.8895,68671.3732,0,142.0539,29.5829,94.6604,149.5546
PF3D7_0113100,0,0,0,0,0,0,0,1213.1834,1700.7329,1931.405,1049.292,526.1695,79.4713,96.2266,20.0393,1025.9609,101.3076
PF3D7_0113200,0,0,0,4491.7053,474.8628,0,8004.2173,7670.7245,7731.2071,42434.3187,37051.6135,28875.4582,147.7888,178.9478,37.2661,2742.6454,188.3966
PF3D7_0113300,0,0,0,0,0,0,17046.3442,12472.3029,14013.8941,12972.1182,6611.9329,10456.5242,137.6993,166.7312,34.722,1111.0466,175.5349
PF3D7_0113600,0,0,0,0,0,0,0,682.1081,0,727.6821,421.9613,0,670.237,90.1718,18.7784,360.5268,94.9331
PF3D7_0113700,0,0,0,0,413.3012,0,5307.8437,1439.9833,489.3766,902.3795,837.3078,799.4973,643.1466,311.4977,64.8698,2075.7277,655.8908
