Gene,ES1,ES2,ES3,ET1,ET2,ET3,LS1,LS2,LS3,LT1,LT2,LT3,M1,M2,M3,MT1,MT2,MT3,S1,S2,S3,YR1,YR2,YR3
PF3D7_1118000,126.8112,104.6707,122.0778,55.6812,46.0131,45.7143,49.3805,55.6045,99.9823,81.3816,149.4294,162.6279,5.1982,50.0105,33.6409,29.2402,60.425,61.0905,79.9222,78.7229,87.1496,17.8068,44.0287,40.3971
PF3D7_1118100,108.8315,122.3224,83.3708,52.6476,35.5615,47.6669,35.3986,66.6292,89.4222,78.0353,106.8435,109.4973,6.965,54.809,37.588,37.3456,52.9965,49.8612,84.6367,89.2168,51.842,26.3399,59.7627,45.4649
PF3D7_1118200,171.7013,150.3291,341.3561,128.8886,758.8416,702.5269,59.4123,90.6703,184.294,443.9398,338.4304,261.9686,43.7775,115.1994,90.6143,1080.1836,865.2891,844.3949,80.9924,272.8179,212.8395,121.2777,94.2473,139.5048
PF3D7_1118300,197.884,193.7154,273.7013,502.7918,317.4292,293.087,93.2872,141.3379,171.7777,255.848,276.5194,264.2905,311.6345,221.9863,212.1357,205.466,254.1071,305.3875,109.6997,250.2682,206.127,615.649,536.4056,609.9571
PF3D7_1118400,134.5367,134.6575,49.916,62.1553,49.7061,53.027,127.9567,92.3792,151.4602,27.173,69.2521,110.7697,15.6136,56.1755,64.3531,21.2646,22.3568,35.7285,254.5728,26.8542,120.0311,61.2808,19.1831,58.4958
PF3D7_1118500,253.0605,349.375,379.7781,640.4284,643.3276,575.3868,269.4895,319.5781,348.6029,272.8203,306.2423,218.136,172.9379,458.4459,286.9037,575.8258,452.9824,428.279,237.282,441.2075,364.0469,748.2207,694.0064,636.8876
PF3D7_1118600,148.7415,167.3911,217.5038,307.9614,259.4582,258.0211,351.3353,264.4282,231.6197,198.3946,193.0655,133.5381,296.9152,301.4927,354.105,224.1578,198.0201,203.4053,180.4029,208.2634,175.4464,481.4937,336.3951,363.65
PF3D7_1118700,292.2201,404.1632,195.1421,3.4549,0.628,2.3641,294.2285,531.1974,304.6644,5.1732,45.0415,95.4401,32.2854,570.2697,129.2519,0.547,1.7787,2.7328,431.1339,239.0347,407.4392,23.9639,6.0957,9.5146
PF3D7_1118800,85.6292,56.1093,147.2931,2.0921,1.6479,4.3212,23.8468,48.0124,130.365,35.9323,55.2094,42.1613,3.7453,54.8535,28.8424,4.7201,16.032,23.6586,38.9871,63.858,77.9595,2.9261,1.6833,6.3795
PF3D7_1118900,31.5595,20.9397,55.1966,5.3952,10.0579,11.3667,11.9268,13.475,38.3736,20.6382,22.3198,26.7405,1.5964,16.2201,11.4772,13.7954,13.9711,26.5332,20.3011,17.3227,24.3107,2.467,2.8383,5.8267
PF3D7_1119000,353.2293,240.0092,454.9692,49.794,152.7838,143.5006,97.4065,138.6004,332.7248,327.0329,379.8501,342.496,11.9673,114.4309,78.4274,217.3422,296.6737,302.7059,205.061,245.3922,266.9296,21.9169,23.1251,46.8699
PF3D7_1119100,105.6476,163.8361,148.3919,142.9215,181.4525,187.752,44.6045,61.0384,95.7274,135.8046,130.3407,86.7008,7.2495,95.3872,42.923,215.3376,161.3719,161.8134,71.6371,267.6717,84.9018,56.2794,122.9538,108.8182
PF3D7_1119200,87.3147,117.0121,130.4202,268.3209,185.5516,184.5933,51.2352,58.162,90.7071,91.6778,130.8578,72.0046,33.1334,90.9015,68.1157,173.1692,153.0194,134.7899,50.8664,201.9272,71.9201,232.7,317.4187,242.4063
